Notes,Score,Evidence,,
Video,3,https://github.com/psvkaushik/Group50_Proj2#readme,,
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,3,https://github.com/psvkaushik/Group50_Proj2/graphs/contributors,,
"but nevertheless, here is a track record that everyone is contributing a lot)",3,https://github.com/psvkaushik/Group50_Proj2/graphs/contributors,,
Number of commits,3,https://github.com/psvkaushik/Group50_Proj2/graphs/commit-activity,,
Number of commits: by different people,3,https://github.com/psvkaushik/Group50_Proj2/graphs/contributors,,
Issues reports: there are many,3,https://github.com/psvkaushik/Group50_Proj2/issues?q=is%3Aissue+is%3Aclosed,,
Issues are being closed,3,https://github.com/psvkaushik/Group50_Proj2/issues?q=is%3Aopen+is%3Aissue,,
DOI badge: exists,3,https://github.com/psvkaushik/Group50_Proj2,,
"Docs: doco generated, format not ugly",3,https://github.com/psvkaushik/Group50_Proj2,,
Docs: what: point descriptions of each class/function (in isolation),3,https://github.com/psvkaushik/Group50_Proj2/tree/main/docs,,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,https://github.com/psvkaushik/Group50_Proj2/tree/main/docs,,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,https://github.com/psvkaushik/Group50_Proj2,,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,https://github.com/psvkaushik/Group50_Proj2#readme,,
Use of version control tools,3,https://github.com/psvkaushik/Group50_Proj2/releases,,Is it releases
Use of style checkers,3,https://github.com/psvkaushik/Group50_Proj2/actions/workflows/Style_Checker_and_Prettify_Code.yml,,
Use of code formatters.,3,https://github.com/psvkaushik/Group50_Proj2/actions/workflows/Style_Checker_and_Prettify_Code.yml,,
Use of syntax checkers.,0,,,
Use of code coverage,3,https://app.codecov.io/gh/psvkaushik/Group50_Proj2,,
Other automated analysis tools,3,https://github.com/psvkaushik/Group50_Proj2,,
Test cases exist,3,https://github.com/psvkaushik/Group50_Proj2/blob/main/src/unitest.py,,
Test cases are routinely executed,3,https://github.com/psvkaushik/Group50_Proj2/actions/runs/6582002103,,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/psvkaushik/Group50_Proj2/blob/main/CONTRIBUTION.md,,
Issues are discussed before they are closed,3,https://github.com/psvkaushik/Group50_Proj2/issues?q=is%3Aissue+is%3Aclosed,,
Chat channel: exists,3,https://discord.gg/KAs8FNcy,,
Test cases: a large proportion of the issues related to handling failing cases.,1,https://github.com/psvkaushik/Group50_Proj2/issues,,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,https://github.com/psvkaushik/Group50_Proj2/graphs/contributors,,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,https://github.com/psvkaushik/Group50_Proj2/blob/main/requirements.txt,,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,"We are showing demo on Windows, but the team had people who were working on MacOs, and can show its working on their laptop as well.",,
Evidence that the members of the team are working across multiple places in the code base,3,https://github.com/psvkaushik/Group50_Proj2/branches/all,,
Short release cycles,2,https://github.com/psvkaushik/Group50_Proj2/graphs/contributors,,
,,,,
Software Evaluation,Answer,Evidence,,
"Question 1.1: Does your website and documentation provide a clear, high-level overview of your software?",Yes,https://github.com/psvkaushik/Group50_Proj2#group50_proj2---gits31---sometimes-all-you-need-to-do-is-make-a-request,,
Question 1.2: Does your website and documentation clearly describe the type of user who should use your software?,Yes,https://github.com/psvkaushik/Group50_Proj2#about-gits31,,
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/docs/case_study.md,,
Question 2.1: Is the name of your project/software unique?,Yes,https://github.com/psvkaushik/Group50_Proj2#group50_proj2---gits31---sometimes-all-you-need-to-do-is-make-a-request,,
Question 2.2: Is your project/software name free from trademark violations?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/LICENSE,,
Question 3.1: Is your software available as a package that can be deployed without building it?,Yes,https://github.com/psvkaushik/Group50_Proj2/blob/main/setup.sh,,
Question 3.2: Is your software available for free?,Yes,https://github.com/psvkaushik/Group50_Proj2,,
"Question 3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,https://github.com/psvkaushik/Group50_Proj2,,
